Linux 4.13.0-36-generic (pc-name) 	02/21/2019 	_x86_64_	(12 CPU)

09:28:35 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
09:28:36 PM  1000     32026    4.00   27.00    0.00   31.00     2  htop
09:28:37 PM  1000     32026    8.00   23.00    0.00   31.00     2  htop
09:28:38 PM  1000     32026    9.00   21.00    0.00   30.00     2  htop
09:28:39 PM  1000     32026    6.00   28.00    0.00   34.00     2  htop
09:28:40 PM  1000     32026    7.00   26.00    0.00   33.00     2  htop
09:28:41 PM  1000     32026    7.00   24.00    0.00   31.00     2  htop
09:28:42 PM  1000     32026    6.00   24.00    0.00   30.00     2  htop
09:28:43 PM  1000     32026    5.00   21.00    0.00   26.00     5  htop
09:28:44 PM  1000     32026    7.00   23.00    0.00   30.00     5  htop
09:28:45 PM  1000     32026    7.00   22.00    0.00   29.00     5  htop
09:28:46 PM  1000     32026    6.00   24.00    0.00   30.00     5  htop
09:28:47 PM  1000     32026    6.00   21.00    0.00   27.00     5  htop
09:28:48 PM  1000     32026   10.00   25.00    0.00   35.00     5  htop
09:28:49 PM  1000     32026    7.00   24.00    0.00   31.00     5  htop
09:28:50 PM  1000     32026    8.00   23.00    0.00   31.00     5  htop
09:28:51 PM  1000     32026    5.00   24.00    0.00   29.00     5  htop
09:28:52 PM  1000     32026    4.00   26.00    0.00   30.00     5  htop
09:28:53 PM  1000     32026    7.00   22.00    0.00   29.00     5  htop
09:28:54 PM  1000     32026    9.00   21.00    0.00   30.00    11  htop
09:28:55 PM  1000     32026    4.00   26.00    0.00   30.00     3  htop
09:28:56 PM  1000     32026    5.00   18.00    0.00   23.00     3  htop
09:28:57 PM  1000     32026    4.00   12.00    0.00   16.00     3  htop
09:28:58 PM  1000     32026    2.00   13.00    0.00   15.00     5  htop
09:28:59 PM  1000     32026    3.00   12.00    0.00   15.00     7  htop
09:29:00 PM  1000     32026    4.00   13.00    0.00   17.00     7  htop
09:29:01 PM  1000     32026    3.00   11.00    0.00   14.00     7  htop
09:29:02 PM  1000     32026    4.00   12.00    0.00   16.00     7  htop
09:29:03 PM  1000     32026    4.00   11.00    0.00   15.00     7  htop
09:29:04 PM  1000     32026    3.00   13.00    0.00   16.00     7  htop
09:29:05 PM  1000     32026    2.00   13.00    0.00   15.00     7  htop
09:29:06 PM  1000     32026    6.00   10.00    0.00   16.00     7  htop
09:29:07 PM  1000     32026    2.00   12.00    0.00   14.00     7  htop
09:29:08 PM  1000     32026    4.00   12.00    0.00   16.00     7  htop
09:29:09 PM  1000     32026    6.00   27.00    0.00   33.00     7  htop
09:29:10 PM  1000     32026    4.00   23.00    0.00   27.00     7  htop
09:29:11 PM  1000     32026    5.00   24.00    0.00   29.00     7  htop
09:29:12 PM  1000     32026    6.00   22.00    0.00   28.00     9  htop
09:29:13 PM  1000     32026    6.00   25.00    0.00   31.00    10  htop
09:29:14 PM  1000     32026    7.00   23.00    0.00   30.00     4  htop
09:29:15 PM  1000     32026    3.00   28.00    0.00   31.00     4  htop
