TID D R S T t W X Z
444 0 0 83 0 0 0 0 0
465 0 0 83 0 0 0 0 0
469 0 0 83 0 0 0 0 0
470 0 0 83 0 0 0 0 0
474 0 0 83 0 0 0 0 0
482 0 0 83 0 0 0 0 0
484 0 0 83 0 0 0 0 0
488 0 0 83 0 0 0 0 0
502 2 28 53 0 0 0 0 0
503 0 0 83 0 0 0 0 0
504 0 1 82 0 0 0 0 0
505 0 2 81 0 0 0 0 0
506 1 4 78 0 0 0 0 0
507 0 1 82 0 0 0 0 0
508 0 3 80 0 0 0 0 0
509 1 5 77 0 0 0 0 0
510 0 0 83 0 0 0 0 0
511 0 0 83 0 0 0 0 0
512 1 6 76 0 0 0 0 0
513 0 0 83 0 0 0 0 0
514 0 1 82 0 0 0 0 0
515 0 3 80 0 0 0 0 0
516 0 0 83 0 0 0 0 0
517 0 0 83 0 0 0 0 0
518 3 2 78 0 0 0 0 0
519 6 1 76 0 0 0 0 0
520 20 3 60 0 0 0 0 0
521 0 0 83 0 0 0 0 0
522 0 1 82 0 0 0 0 0
523 0 2 81 0 0 0 0 0
524 0 1 82 0 0 0 0 0
528 0 2 81 0 0 0 0 0
529 0 2 81 0 0 0 0 0
530 0 2 81 0 0 0 0 0
531 0 2 81 0 0 0 0 0
532 0 2 81 0 0 0 0 0
534 0 0 83 0 0 0 0 0
536 0 0 83 0 0 0 0 0
538 0 1 82 0 0 0 0 0
539 0 3 80 0 0 0 0 0
540 0 0 83 0 0 0 0 0
591 0 0 83 0 0 0 0 0
594 0 0 83 0 0 0 0 0
595 0 0 83 0 0 0 0 0
596 5 4 74 0 0 0 0 0
599 1 5 77 0 0 0 0 0
600 0 0 83 0 0 0 0 0
601 0 2 81 0 0 0 0 0
602 0 0 83 0 0 0 0 0
603 0 2 81 0 0 0 0 0
604 0 3 80 0 0 0 0 0
605 0 1 82 0 0 0 0 0
606 0 0 83 0 0 0 0 0
608 0 1 82 0 0 0 0 0
610 0 0 83 0 0 0 0 0
612 0 0 83 0 0 0 0 0
613 0 1 82 0 0 0 0 0
614 0 0 83 0 0 0 0 0
615 0 1 82 0 0 0 0 0
617 0 1 82 0 0 0 0 0
619 0 0 83 0 0 0 0 0
621 1 1 81 0 0 0 0 0
622 0 0 83 0 0 0 0 0
623 0 0 83 0 0 0 0 0
624 0 0 83 0 0 0 0 0
625 0 0 83 0 0 0 0 0
627 0 2 81 0 0 0 0 0
630 0 0 83 0 0 0 0 0
631 0 0 83 0 0 0 0 0
632 0 0 83 0 0 0 0 0
633 0 2 81 0 0 0 0 0
634 0 2 81 0 0 0 0 0
635 0 2 81 0 0 0 0 0
636 0 0 83 0 0 0 0 0
638 0 1 82 0 0 0 0 0
640 0 0 83 0 0 0 0 0
642 0 0 83 0 0 0 0 0
643 0 0 83 0 0 0 0 0
644 1 2 80 0 0 0 0 0
645 0 4 79 0 0 0 0 0
646 0 2 81 0 0 0 0 0
647 0 1 82 0 0 0 0 0
649 0 1 82 0 0 0 0 0
651 0 0 83 0 0 0 0 0
653 0 1 82 0 0 0 0 0
654 0 0 83 0 0 0 0 0
655 0 1 82 0 0 0 0 0
656 0 3 80 0 0 0 0 0
657 0 0 83 0 0 0 0 0
658 0 0 83 0 0 0 0 0
660 0 1 82 0 0 0 0 0
662 0 0 83 0 0 0 0 0
664 0 0 83 0 0 0 0 0
665 0 0 83 0 0 0 0 0
666 0 3 80 0 0 0 0 0
667 0 2 81 0 0 0 0 0
668 0 4 79 0 0 0 0 0
669 0 1 82 0 0 0 0 0
671 0 0 83 0 0 0 0 0
673 0 0 83 0 0 0 0 0
675 0 0 83 0 0 0 0 0
676 0 0 83 0 0 0 0 0
677 0 0 83 0 0 0 0 0
678 0 0 83 0 0 0 0 0
680 0 0 83 0 0 0 0 0
681 0 1 82 0 0 0 0 0
682 0 2 81 0 0 0 0 0
683 1 3 79 0 0 0 0 0
684 0 6 77 0 0 0 0 0
685 0 2 81 0 0 0 0 0
686 0 4 79 0 0 0 0 0
687 0 8 75 0 0 0 0 0
688 0 1 82 0 0 0 0 0
689 1 3 79 0 0 0 0 0
690 1 1 81 0 0 0 0 0
691 2 1 80 0 0 0 0 0
692 0 3 80 0 0 0 0 0
693 0 0 83 0 0 0 0 0
694 0 0 83 0 0 0 0 0
696 0 1 82 0 0 0 0 0
697 0 0 83 0 0 0 0 0
698 2 3 78 0 0 0 0 0
699 0 0 83 0 0 0 0 0
700 0 15 68 0 0 0 0 0
701 0 2 81 0 0 0 0 0
702 2 2 79 0 0 0 0 0
703 1 0 82 0 0 0 0 0
704 4 8 71 0 0 0 0 0
705 0 1 82 0 0 0 0 0
706 3 1 79 0 0 0 0 0
707 0 1 82 0 0 0 0 0
708 0 10 73 0 0 0 0 0
709 0 0 83 0 0 0 0 0
710 2 3 78 0 0 0 0 0
711 0 1 82 0 0 0 0 0
712 0 10 73 0 0 0 0 0
713 0 0 83 0 0 0 0 0
714 2 81 0 0 0 0 0 0
