procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      6    142    681  10464    0    0     0     4    0    1  0  0 100  0  0
 0  0      6    142    681  10464    0    0   128   216 1069  956  1  0 99  0  0
 0  0      6    144    681  10464    0    0   128    64  910  884  1  0 99  0  0
 0  0      6    144    681  10464    0    0   128    16  772  839  0  0 99  0  0
 0  0      6    144    681  10464    0    0     0    24  763  773  0  0 99  0  0
 0  0      6    143    681  10464    0    0   256   388  957  925  1  0 98  2  0
 0  0      6    144    681  10465    0    0     0   660  893  789  0  0 99  0  0
 0  0      6    144    681  10465    0    0     0    24  882  948  0  0 99  0  0
 0  0      6    144    681  10465    0    0     0     0  801  767  0  0 100  0  0
 0  0      6    144    681  10465    0    0     0     0  695  720  0  0 100  0  0
